ASSET ID,FEATURE TYPE,DIVISION NAME,LOCATION NAME,Location 1,LATITUDE,LONGITUDE
SEAT5071,SEAT,KINGSTON,EASTLAKE PARADE PEDESTRIAN PARKLAND,"(-35.310667, 149.144933)",-35.310667,149.144933
TABL2119,TABLE,KINGSTON,EASTLAKE PARADE PEDESTRIAN PARKLAND,"(-35.310608, 149.144937)",-35.310608,149.144937
TABL2115,TABLE,KINGSTON,TREVILLIAN QUAY PEDESTRIAN PARKLAND,"(-35.31081, 149.148011)",-35.31081,149.148011
TABL961,TABLE,BELCONNEN (RURAL DIST.),PALMERVILLE HERITAGE PARK,"(-35.211593, 149.085474)",-35.211593,149.085474
SEAT3775,SEAT,PADDYS RIVER (RURAL DIST.),THE AVENUE,"(-35.323791, 148.941179)",-35.323791,148.941179
TABL735,TABLE,NEW SOUTH WALES,BULLS HEAD PICNIC AREA,"(-35.387611, 148.804146)",-35.387611,148.804146
TABL473,TABLE,MAJURA (RURAL DIST.),MT AINSLIE,"(-35.27024, 149.157994)",-35.27024,149.157994
TABL445,TABLE,MAJURA (RURAL DIST.),FEDERAL HIGHWAY,"(-35.211628, 149.190373)",-35.211628,149.190373
SEAT4415,SEAT,TUGGERANONG (RURAL DIST.),MOUNT TAYLOR NATURE RESERVE,"(-35.371876, 149.07578)",-35.371876,149.07578
SEAT3783,SEAT,COREE (RURAL DIST.),COTTER BEND,"(-35.327527, 148.938477)",-35.327527,148.938477
SEAT3251,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.274441, 149.097644)",-35.274441,149.097644
TABL447,TABLE,MAJURA (RURAL DIST.),FEDERAL HIGHWAY,"(-35.21109, 149.190615)",-35.21109,149.190615
SEAT3779,SEAT,PADDYS RIVER (RURAL DIST.),THE AVENUE,"(-35.326441, 148.938527)",-35.326441,148.938527
SEAT3778,SEAT,COREE (RURAL DIST.),STONEY CREEK NATURE RESERVE,"(-35.318196, 148.94947)",-35.318196,148.94947
SEAT3769,SEAT,COREE (RURAL DIST.),MT MACDONALD,"(-35.314527, 148.940302)",-35.314527,148.940302
TABL474,TABLE,MAJURA (RURAL DIST.),MT AINSLIE,"(-35.270275, 149.158044)",-35.270275,149.158044
SEAT4035,SEAT,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE - PEDESTRIAN PARKLAND,"(-35.297924, 149.072333)",-35.297924,149.072333
TABL446,TABLE,MAJURA (RURAL DIST.),FEDERAL HIGHWAY,"(-35.211465, 149.190296)",-35.211465,149.190296
TABL470,TABLE,MAJURA (RURAL DIST.),MT AINSLIE,"(-35.270075, 149.157941)",-35.270075,149.157941
SEAT4459,SEAT,CANBERRA CENTRAL (RURAL DIST.),"UPPER DAM 2, MT MAJURA NATURE RESERVE","(-35.250553, 149.176393)",-35.250553,149.176393
SEAT3233,SEAT,MAJURA (RURAL DIST.),FEDERAL HIGHWAY,"(-35.21224, 149.190245)",-35.21224,149.190245
SEAT3772,SEAT,PADDYS RIVER (RURAL DIST.),THE AVENUE,"(-35.323415, 148.941882)",-35.323415,148.941882
SEAT4336,SEAT,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE ROAD VERGE,"(-35.285157, 149.088119)",-35.285157,149.088119
SEAT3246,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.279735, 149.098818)",-35.279735,149.098818
TABL2062,TABLE,WESTON,HEYSEN STREET PEDESTRIAN PARKLAND,"(-35.330637, 149.058624)",-35.330637,149.058624
TABL959,TABLE,BELCONNEN (RURAL DIST.),PALMERVILLE HERITAGE PARK,"(-35.211987, 149.085501)",-35.211987,149.085501
SEAT4457,SEAT,CANBERRA CENTRAL (RURAL DIST.),MOUNT MAJURA NATURE RESERVE,"(-35.250839, 149.17427)",-35.250839,149.17427
TABL472,TABLE,MAJURA (RURAL DIST.),MT AINSLIE,"(-35.270197, 149.157962)",-35.270197,149.157962
TABL556,TABLE,WESTON CREEK (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.300473, 149.073315)",-35.300473,149.073315
SEAT4458,SEAT,CANBERRA CENTRAL (RURAL DIST.),LOWER DAM SEAT 2 MT MAJURA NAT RESERVE,"(-35.250958, 149.174215)",-35.250958,149.174215
SEAT3724,SEAT,CAMPBELL,GREVILLEA PARK,"(-35.304585, 149.152422)",-35.304585,149.152422
SEAT3248,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.279917, 149.098548)",-35.279917,149.098548
SEAT4337,SEAT,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE ROAD VERGE,"(-35.298758, 149.070839)",-35.298758,149.070839
SEAT3247,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.279705, 149.09887)",-35.279705,149.09887
SEAT3249,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.27977, 149.098226)",-35.27977,149.098226
TABL920,TABLE,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.29771, 149.072307)",-35.29771,149.072307
TABL921,TABLE,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297903, 149.072231)",-35.297903,149.072231
TABL696,TABLE,NEW SOUTH WALES,BULLS HEAD PICNIC AREA,"(-35.387274, 148.804333)",-35.387274,148.804333
TABL555,TABLE,WESTON CREEK (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.300441, 149.073233)",-35.300441,149.073233
SEAT3256,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.27407, 149.097077)",-35.27407,149.097077
TABL960,TABLE,BELCONNEN (RURAL DIST.),PALMERVILLE HERITAGE PARK,"(-35.21215, 149.085746)",-35.21215,149.085746
TABL554,TABLE,WESTON CREEK (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.300493, 149.073191)",-35.300493,149.073191
SEAT4034,SEAT,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297841, 149.07231)",-35.297841,149.07231
SEAT3773,SEAT,PADDYS RIVER (RURAL DIST.),THE AVENUE,"(-35.323014, 148.942198)",-35.323014,148.942198
SEAT3784,SEAT,COREE (RURAL DIST.),COTTER BEND,"(-35.326897, 148.938951)",-35.326897,148.938951
TABL958,TABLE,BELCONNEN (RURAL DIST.),PALMERVILLE HERITAGE PARK,"(-35.212057, 149.085622)",-35.212057,149.085622
SEAT3780,SEAT,PADDYS RIVER (RURAL DIST.),THE AVENUE,"(-35.325546, 148.939617)",-35.325546,148.939617
TABL2063,TABLE,WESTON,HEYSEN STREET PEDESTRIAN PARKLAND,"(-35.331038, 149.059523)",-35.331038,149.059523
TABL471,TABLE,MAJURA (RURAL DIST.),MT AINSLIE,"(-35.270141, 149.157945)",-35.270141,149.157945
SEAT5476,SEAT,TAYLOR,MOTTRAM STREET NEIGHBOURHOOD PARK,"(-35.150538, 149.101997)",-35.150538,149.101997
SEAT5477,SEAT,TAYLOR,MOTTRAM STREET NEIGHBOURHOOD PARK,"(-35.150504, 149.101943)",-35.150504,149.101943
SEAT3253,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.274484, 149.09753)",-35.274484,149.09753
SEAT3257,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.27397, 149.097263)",-35.27397,149.097263
TABL697,TABLE,NEW SOUTH WALES,BULLS HEAD PICNIC AREA,"(-35.387663, 148.804067)",-35.387663,148.804067
SEAT3252,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.274424, 149.097558)",-35.274424,149.097558
UOS5475,SEAT,TAYLOR,MOTTRAM STREET NEIGHBOURHOOD PARK,"(-35.150822, 149.102009)",-35.150822,149.102009
SEAT3721,SEAT,CAMPBELL,GREVILLEA PARK,"(-35.304801, 149.152264)",-35.304801,149.152264
SEAT3254,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.274332, 149.097259)",-35.274332,149.097259
SEAT3235,SEAT,MAJURA (RURAL DIST.),FEDERAL HIGHWAY,"(-35.212268, 149.190138)",-35.212268,149.190138
TABL694,TABLE,NEW SOUTH WALES,BULLS HEAD PICNIC AREA,"(-35.386818, 148.804476)",-35.386818,148.804476
TABL922,TABLE,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297935, 149.072073)",-35.297935,149.072073
SEAT4460,SEAT,CANBERRA CENTRAL (RURAL DIST.),"UPPER DAM 2, MT MAJURA NATURE RESERVE","(-35.250757, 149.176487)",-35.250757,149.176487
TABL612,TABLE,CAMPBELL,GREVILLEA PARK,"(-35.304684, 149.152286)",-35.304684,149.152286
SEAT4339,SEAT,WESTON CREEK (RURAL DIST.),LADY DENMAN DRIVE - PEDESTRIAN PARKLAND,"(-35.308144, 149.075851)",-35.308144,149.075851
SEAT3255,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.274267, 149.097161)",-35.274267,149.097161
SEAT3782,SEAT,COREE (RURAL DIST.),COTTER BEND,"(-35.327999, 148.938113)",-35.327999,148.938113
SEAT3723,SEAT,CAMPBELL,GREVILLEA PARK,"(-35.304575, 149.152406)",-35.304575,149.152406
SEAT4670,SEAT,CANBERRA CENTRAL (RURAL DIST.),MOUNT MAJURA NATURE RESERVE,"(-35.245086, 149.177545)",-35.245086,149.177545
SEAT3781,SEAT,COREE (RURAL DIST.),COTTER BEND,"(-35.327969, 148.939673)",-35.327969,148.939673
SEAT3250,SEAT,CANBERRA CENTRAL (RURAL DIST.),BLACK MTN,"(-35.2745, 149.097605)",-35.2745,149.097605
SEAT4036,SEAT,CANBERRA CENTRAL (RURAL DIST.),LADY DENMAN DRIVE - PEDESTRIAN PARKLAND,"(-35.297998, 149.072244)",-35.297998,149.072244
SEAT4338,SEAT,WESTON CREEK (RURAL DIST.),LADY DENMAN DRIVE - PEDESTRIAN PARKLAND,"(-35.304883, 149.072494)",-35.304883,149.072494
SEAT5110,SEAT,COREE (RURAL DIST.),SHERWOOD HOMESTEAD,"(-35.273017, 148.892008)",-35.273017,148.892008
TABL802,TABLE,COREE (RURAL DIST.),SHERWOOD HERITAGE,"(-35.273279, 148.891932)",-35.273279,148.891932
SEAT5109,SEAT,COREE (RURAL DIST.),SHERWOOD HOMESTEAD,"(-35.273097, 148.891988)",-35.273097,148.891988
SEAT4454,SEAT,RED HILL,RED HILL SHOPPING CENTRE,"(-35.341132, 149.131022)",-35.341132,149.131022
SEAT5126,SEAT,THROSBY,BETTONG AVENUE NEIGHBOUHOOD PARK,"(-35.196367, 149.166704)",-35.196367,149.166704
SEAT5128,SEAT,THROSBY,KUNAPALARI STREET PEDESTRIAN PARKLAND,"(-35.198808, 149.165222)",-35.198808,149.165222
SEAT5127,SEAT,THROSBY,BARRAMUNDI STREET PEDESTRIAN PARKLAND,"(-35.193346, 149.167258)",-35.193346,149.167258
SEAT5130,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.29337, 149.092678)",-35.29337,149.092678
SEAT5132,SEAT,BARTON,BOWEN PARK,"(-35.309457, 149.141972)",-35.309457,149.141972
SEAT5136,SEAT,BARTON,BOWEN PARK,"(-35.308553, 149.13977)",-35.308553,149.13977
SEAT5138,SEAT,BARTON,LAKE TUGGERANONG DISTRICT PARK,"(-35.401208, 149.070995)",-35.401208,149.070995
SEAT5142,SEAT,GIRALANG,WILLIAM SLIM DRIVE PEDESTRIAN PARKLAND,"(-35.214501, 149.089046)",-35.214501,149.089046
SEAT5137,SEAT,BARTON,BOWEN PARK,"(-35.307965, 149.140173)",-35.307965,149.140173
SEAT5144,SEAT,CONDER,DALY PLACE NEIGHBOURHOOD PARK,"(-35.45679, 149.101597)",-35.45679,149.101597
SEAT5135,SEAT,BARTON,BOWEN PARK,"(-35.308964, 149.140081)",-35.308964,149.140081
SEAT5133,SEAT,BARTON,BOWEN PARK,"(-35.308436, 149.140801)",-35.308436,149.140801
SEAT5139,SEAT,COOK,REDFERN STREET PEDESTRIAN PARKLAND,"(-35.256315, 149.063553)",-35.256315,149.063553
SEAT5143,SEAT,KAMBAH,MANNHEIM STREET SHOPPING CANTRE,"(-35.384054, 149.072239)",-35.384054,149.072239
SEAT5134,SEAT,BARTON,BOWEN PARK,"(-35.308521, 149.140996)",-35.308521,149.140996
SEAT5141,SEAT,CHIFLEY,SHANN PLACE  NEIGHBOURHOOD PARK,"(-35.352371, 149.07651)",-35.352371,149.07651
SEAT5140,SEAT,OXLEY,NEWMAN-MORRIS CIRCUIT NEIGHBOURHOOD PARK,"(-35.406541, 149.078713)",-35.406541,149.078713
TABL2120,TABLE,CAMPBELL,GEORGE CROSS PARK,"(-35.286056, 149.151591)",-35.286056,149.151591
SEAT5150,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.293599, 149.088242)",-35.293599,149.088242
SEAT5152,SEAT,TUGGERANONG (RURAL DIST.),FARRER RIDGE NATURE RESERVE,"(-35.382328, 149.095776)",-35.382328,149.095776
SEAT5146,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.292022, 149.092675)",-35.292022,149.092675
SEAT5147,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.291183, 149.094351)",-35.291183,149.094351
SEAT5148,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.288462, 149.095439)",-35.288462,149.095439
SEAT5151,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.297849, 149.091222)",-35.297849,149.091222
SEAT5145,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.292944, 149.092357)",-35.292944,149.092357
SEAT5149,SEAT,YARRALUMLA,WESTON PARK DISTRICT PARK,"(-35.289743, 149.09365)",-35.289743,149.09365
SEAT5153,SEAT,MACGREGOR,BALLOW CRESENT PEDESTRIAN PARKLAND,"(-35.20735, 149.019436)",-35.20735,149.019436
SEAT5154,SEAT,CHISHOLM,PURBRICK STREET SEMI NATURAL OPEN SPACE,"(-35.422867, 149.128485)",-35.422867,149.128485
SEAT2799,SEAT,RED HILL,RED HILL SCENIC LOOKOUT,"(-35.328708, 149.117016)",-35.328708,149.117016
TABL827,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.325932, 148.947843)",-35.325932,148.947843
TABL668,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.32302, 148.941266)",-35.32302,148.941266
