image,episode,title,url
S8E6.jpg,S8E6,Bubbling Mountain Brook,/painting/bubbling-mountain-brook
S8E7.jpg,S8E7,Winter Hideaway,/painting/winter-hideaway
S8E8.jpg,S8E8,Foot of the Mountain,/painting/foot-of-the-mountain
S8E9.jpg,S8E9,Majestic Pine,/painting/majestic-pine
S8E10.jpg,S8E10,Cactus at Sunset,/painting/cactus-at-sunset
S8E11.jpg,S8E11,Mountain Range,/painting/mountain-range
S8E12.jpg,S8E12,Lonely Retreat,/painting/lonely-retreat
S8E13.jpg,S8E13,Northern Lights,/painting/northern-lights
S9E1.jpg,S9E1,Winter Evergreens,/painting/winter-evergreens
S9E2.jpg,S9E2,Surf's Up,/painting/surfs-up
S9E3.jpg,S9E3,Red Sunset,/painting/red-sunset
S9E4.jpg,S9E4,Meadow Road,/painting/meadow-road
S9E5.jpg,S9E5,Winter Oval,/painting/winter-oval
S9E6.jpg,S9E6,Secluded Beach,/painting/secluded-beach
S9E7.jpg,S9E7,Forest Hills,/painting/forest-hills
S9E8.jpg,S9E8,Little House by the Road,/painting/little-house-by-the-road
S9E9.jpg,S9E9,Mountain Path,/painting/mountain-path
S9E10.jpg,S9E10,Country Charm,/painting/country-charm
S9E11.jpg,S9E11,Nature's Paradise,/painting/natures-paradise
S9E12.jpg,S9E12,Mountain by the Sea,/painting/mountain-by-the-sea
S9E13.jpg,S9E13,Mountain Hideaway,/painting/mountain-hideaway
S10E1.jpg,S10E1,Towering Peaks,/painting/towering-peaks
S10E2.jpg,S10E2,Cabin at Sunset,/painting/cabin-at-sunset
S10E3.jpg,S10E3,Twin Falls,/painting/twin-falls
S10E4.jpg,S10E4,Secluded Bridge,/painting/secluded-bridge
S10E5.jpg,S10E5,Ocean Breeze,/painting/ocean-breeze
S10E6.jpg,S10E6,Autumn Woods,/painting/autumn-woods
S10E7.jpg,S10E7,Winter Solitude,/painting/winter-solitude
S10E8.jpg,S10E8,Golden Sunset,/painting/golden-sunset
S10E9.jpg,S10E9,Mountain Oval,/painting/mountain-oval
S10E10.jpg,S10E10,Ocean Sunset,/painting/ocean-sunset
S10E11.jpg,S10E11,Triple View,/painting/triple-view
S10E12.jpg,S10E12,Winter Frost,/painting/winter-frost
S10E13.jpg,S10E13,Lakeside Cabin,/painting/lakeside-cabin-2
S11E1.jpg,S11E1,Mountain Stream,/painting/mountain-stream
S11E2.jpg,S11E2,Country Cabin,/painting/country-cabin
S11E3.jpg,S11E3,Daisy Delight,/painting/daisy-delight
S11E4.jpg,S11E4,Hidden Stream,/painting/hidden-stream
S11E5.jpg,S11E5,Towering Glacier,/painting/towering-glacier
S11E6.jpg,S11E6,Oval Barn,/painting/oval-barn
S11E7.jpg,S11E7,Lakeside Path,/painting/lakeside-path
S11E8.jpg,S11E8,Sunset Oval,/painting/sunset-oval
S11E9.jpg,S11E9,Winter Barn,/painting/winter-barn
S11E10.jpg,S11E10,Sunset over the Waves,/painting/sunset-over-the-waves
S11E11.jpg,S11E11,Golden Glow,/painting/golden-glow
S11E12.jpg,S11E12,Roadside Barn,/painting/roadside-barn
S11E13.jpg,S11E13,Happy Accident,/painting/happy-accident
S12E1.jpg,S12E1,Golden Knoll,/painting/golden-knoll
S12E2.jpg,S12E2,Mountain Reflections,/painting/mountain-reflections
S12E3.jpg,S12E3,Secluded Mountain,/painting/secluded-mountain
S12E4.jpg,S12E4,Bright Autumn Trees,/painting/bright-autumn-trees
S12E5.jpg,S12E5,Black Seascape,/painting/black-seascape
S12E6.jpg,S12E6,Steep Mountains,/painting/steep-mountains
S12E7.jpg,S12E7,Quiet Mountains River,/painting/quiet-mountains-river
S12E8.jpg,S12E8,Evening Waterfall,/painting/evening-waterfall
S12E9.jpg,S12E9,Tropical Seascape,/painting/tropical-seascape
S12E10.jpg,S12E10,Mountain at Sunset,/painting/mountain-at-sunset
S12E11.jpg,S12E11,Soft Mountain Glow,/painting/soft-mountain-glow
S12E12.jpg,S12E12,Mountain in an Oval,/painting/mountain-in-an-oval
S12E13.jpg,S12E13,Winter Mountain,/painting/winter-mountain
S13E1.jpg,S13E1,Rolling Hills,/painting/rolling-hills
S13E2.jpg,S13E2,Frozen Solitude,/painting/frozen-solitude
S13E3.jpg,S13E3,Meadow Brook,/painting/meadow-brook
S13E4.jpg,S13E4,Evening at Sunset,/painting/evening-at-sunset
S13E5.jpg,S13E5,Mountain View,/painting/mountain-view
S13E6.jpg,S13E6,Hidden Creek,/painting/hidden-creek
S13E7.jpg,S13E7,Peaceful Haven,/painting/peaceful-haven
S13E8.jpg,S13E8,Mountain Exhibition,/painting/mountain-exhibition
